Disease,Medication
Fungal infection,"['Neem (Azadirachta indica)', 'Turmeric (Curcuma longa)', 'Garlic (Allium sativum)']"
Allergy,"['Haridra (Curcuma longa)', 'Tulsi (Ocimum sanctum)', 'Mulethi (Glycyrrhiza glabra)']"
GERD,"['Amalaki (Emblica officinalis)', 'Licorice (Glycyrrhiza glabra)', 'Fennel seeds']"
Chronic cholestasis,"['Kutki (Picrorhiza kurroa)', 'Bhumyamalaki (Phyllanthus niruri)', 'Guduchi (Tinospora cordifolia)']"
Drug Reaction,"['Haridra (Curcuma longa)', 'Neem (Azadirachta indica)', 'Aloe vera']"
Peptic ulcer disease,"['Licorice (Glycyrrhiza glabra)', 'Amalaki (Emblica officinalis)', 'Yashtimadhu']"
AIDS,"['Ashwagandha (Withania somnifera)', 'Guduchi (Tinospora cordifolia)', 'Amla (Emblica officinalis)']"
Diabetes,"['Bitter gourd (Momordica charantia)', 'Gudmar (Gymnema sylvestre)', 'Vijaysar (Pterocarpus marsupium)']"
Gastroenteritis,"['Ginger (Zingiber officinale)', 'Pomegranate peel', 'Bilva (Aegle marmelos)']"
Bronchial Asthma,"['Vasaka (Adhatoda vasica)', 'Tulsi (Ocimum sanctum)', 'Pippali (Piper longum)']"
Hypertension,"['Arjuna (Terminalia arjuna)', 'Sarpagandha (Rauvolfia serpentina)', 'Brahmi (Bacopa monnieri)']"
Migraine,"['Brahmi (Bacopa monnieri)', 'Jatamansi (Nardostachys jatamansi)', 'Shankhpushpi']"
Cervical spondylosis,"['Guggulu (Commiphora mukul)', 'Shallaki (Boswellia serrata)', 'Ashwagandha']"
Paralysis (brain hemorrhage),"['Ashwagandha (Withania somnifera)', 'Bala (Sida cordifolia)', 'Rasna (Pluchea lanceolata)']"
Jaundice,"['Kutki (Picrorhiza kurroa)', 'Bhumyamalaki (Phyllanthus niruri)', 'Guduchi (Tinospora cordifolia)']"
Malaria,"['Chirayta (Swertia chirata)', 'Neem (Azadirachta indica)', 'Tulsi (Ocimum sanctum)']"
Chicken pox,"['Neem (Azadirachta indica)', 'Turmeric (Curcuma longa)', 'Aloe vera']"
Dengue,"['Papaya leaf extract', 'Guduchi (Tinospora cordifolia)', 'Tulsi (Ocimum sanctum)']"
Typhoid,"['Guduchi (Tinospora cordifolia)', 'Shunthi (Zingiber officinale)', 'Pippali (Piper longum)']"
Hepatitis A,"['Bhumyamalaki (Phyllanthus niruri)', 'Kutki (Picrorhiza kurroa)', 'Guduchi (Tinospora cordifolia)']"
Hepatitis B,"['Bhumyamalaki (Phyllanthus niruri)', 'Kalmegh (Andrographis paniculata)', 'Guduchi (Tinospora cordifolia)']"
Hepatitis C,"['Bhumyamalaki (Phyllanthus niruri)', 'Kalmegh (Andrographis paniculata)', 'Guduchi (Tinospora cordifolia)']"
Hepatitis D,"['Bhumyamalaki (Phyllanthus niruri)', 'Kalmegh (Andrographis paniculata)', 'Guduchi (Tinospora cordifolia)']"
Hepatitis E,"['Bhumyamalaki (Phyllanthus niruri)', 'Kutki (Picrorhiza kurroa)', 'Guduchi (Tinospora cordifolia)']"
Alcoholic hepatitis,"['Kutki (Picrorhiza kurroa)', 'Punarnava (Boerhavia diffusa)', 'Bhumyamalaki (Phyllanthus niruri)']"
Tuberculosis,"['Haridra (Curcuma longa)', 'Tulsi (Ocimum sanctum)', 'Vasaka (Adhatoda vasica)']"
Common Cold,"['Tulsi (Ocimum sanctum)', 'Ginger (Zingiber officinale)', 'Mulethi (Glycyrrhiza glabra)']"
Pneumonia,"['Vasaka (Adhatoda vasica)', 'Tulsi (Ocimum sanctum)', 'Haridra (Curcuma longa)']"
Dimorphic hemorrhoids (piles),"['Triphala', 'Guggulu (Commiphora mukul)', 'Haritaki (Terminalia chebula)']"
Heart attack,"['Arjuna (Terminalia arjuna)', 'Guggulu (Commiphora mukul)', 'Ashwagandha']"
Varicose veins,"['Ashwagandha (Withania somnifera)', 'Guggulu (Commiphora mukul)', 'Manjistha (Rubia cordifolia)']"
Hypothyroidism,"['Ashwagandha (Withania somnifera)', 'Guggulu (Commiphora mukul)', 'Shilajit']"
Hyperthyroidism,"['Bugleweed', 'Lemon balm', 'Shankhpushpi']"
Hypoglycemia,"['Guduchi (Tinospora cordifolia)', 'Amalaki (Emblica officinalis)', 'Shatavari (Asparagus racemosus)']"
Osteoarthritis,"['Shallaki (Boswellia serrata)', 'Guggulu (Commiphora mukul)', 'Ashwagandha']"
Arthritis,"['Shallaki (Boswellia serrata)', 'Guggulu (Commiphora mukul)', 'Ashwagandha']"
Paroxysmal Positional Vertigo,"['Brahmi (Bacopa monnieri)', 'Shankhpushpi', 'Jyotishmati (Celastrus paniculatus)']"
Acne,"['Neem (Azadirachta indica)', 'Turmeric (Curcuma longa)', 'Aloe vera']"
Urinary tract infection,"['Gokshura (Tribulus terrestris)', 'Punarnava (Boerhavia diffusa)', 'Varuna (Crataeva nurvala)']"
Psoriasis,"['Neem (Azadirachta indica)', 'Turmeric (Curcuma longa)', 'Manjistha (Rubia cordifolia)']"
Impetigo,"['Neem (Azadirachta indica)', 'Turmeric (Curcuma longa)', 'Aloe vera']"
